OxPC,[M+Na]+,Mna-PC,Mna-TrimethylAmine,Mna-NaPC,Mna-R1COOH&TrimethylAmine,Mna-R2COOH&TrimethylAmine,Mna-R1COOH,Mna-R2COOH,Mna-R2COONa
OxPC(8:0_5:0(CHO))+Na,504.23329,321.16725,445.159791,299.18531,301.044761,329.112451,360.11826,388.18595,366.20399
OxPC(8:0_6:0(CHO))+Na,518.24894,335.1829,459.175441,313.20096,315.060411,329.112451,374.13391,388.18595,366.20399
OxPC(8:0_7:0(CHO))+Na,532.26459,349.19855,473.191091,327.21661,329.076061,329.112451,388.14956,388.18595,366.20399
OxPC(8:0_8:0(CHO))+Na,546.28024,363.2142,487.206741,341.23226,343.091711,329.112451,402.16521,388.18595,366.20399
OxPC(8:0_9:0(CHO))+Na,560.29589,377.22985,501.222391,355.24791,357.107361,329.112451,416.18086,388.18595,366.20399
OxPC(8:0_10:0(CHO))+Na,574.31154,391.2455,515.238041,369.26356,371.123011,329.112451,430.19651,388.18595,366.20399
OxPC(8:0_11:0(CHO))+Na,588.32719,405.26115,529.253691,383.27921,385.138661,329.112451,444.21216,388.18595,366.20399
OxPC(8:0_12:0(CHO))+Na,602.34284,419.2768,543.269341,397.29486,399.154311,329.112451,458.22781,388.18595,366.20399
OxPC(8:0_13:0(CHO))+Na,616.35849,433.29245,557.284991,411.31051,413.169961,329.112451,472.24346,388.18595,366.20399
OxPC(8:0_14:0(CHO))+Na,630.37414,447.3081,571.300641,425.32616,427.185611,329.112451,486.25911,388.18595,366.20399
OxPC(8:0_15:0(CHO))+Na,644.38979,461.32375,585.316291,439.34181,441.201261,329.112451,500.27476,388.18595,366.20399
OxPC(8:0_6:1(CHO))+Na,516.2333,333.16726,457.159801,311.18532,313.044771,329.112451,372.11827,388.18595,366.20399
OxPC(8:0_7:1(CHO))+Na,530.24895,347.18291,471.175451,325.20097,327.060421,329.112451,386.13392,388.18595,366.20399
OxPC(8:0_8:1(CHO))+Na,544.2646,361.19856,485.191101,339.21662,341.076071,329.112451,400.14957,388.18595,366.20399
OxPC(8:0_9:1(CHO))+Na,558.28025,375.21421,499.206751,353.23227,355.091721,329.112451,414.16522,388.18595,366.20399
OxPC(8:0_9:2(CHO))+Na,556.2646,373.19856,497.191101,351.21662,353.076071,329.112451,412.14957,388.18595,366.20399
OxPC(8:0_10:1(CHO))+Na,572.2959,389.22986,513.222401,367.24792,369.107371,329.112451,428.18087,388.18595,366.20399
OxPC(8:0_10:2(CHO))+Na,570.28025,387.21421,511.206751,365.23227,367.091721,329.112451,426.16522,388.18595,366.20399
OxPC(8:0_11:1(CHO))+Na,586.31155,403.24551,527.238051,381.26357,383.123021,329.112451,442.19652,388.18595,366.20399
OxPC(8:0_11:2(CHO))+Na,584.2959,401.22986,525.222401,379.24792,381.107371,329.112451,440.18087,388.18595,366.20399
OxPC(8:0_12:1(CHO))+Na,600.3272,417.26116,541.253701,395.27922,397.138671,329.112451,456.21217,388.18595,366.20399
OxPC(8:0_12:2(CHO))+Na,598.31155,415.24551,539.238051,393.26357,395.123021,329.112451,454.19652,388.18595,366.20399
OxPC(8:0_12:3(CHO))+Na,596.2959,413.22986,537.222401,391.24792,393.107371,329.112451,452.18087,388.18595,366.20399
OxPC(8:0_13:1(CHO))+Na,614.34285,431.27681,555.269351,409.29487,411.154321,329.112451,470.22782,388.18595,366.20399
OxPC(8:0_13:2(CHO))+Na,612.3272,429.26116,553.253701,407.27922,409.138671,329.112451,468.21217,388.18595,366.20399
OxPC(8:0_13:3(CHO))+Na,610.31155,427.24551,551.238051,405.26357,407.123021,329.112451,466.19652,388.18595,366.20399
OxPC(8:0_14:1(CHO))+Na,628.3585,445.29246,569.285001,423.31052,425.169971,329.112451,484.24347,388.18595,366.20399
OxPC(8:0_14:2(CHO))+Na,626.34285,443.27681,567.269351,421.29487,423.154321,329.112451,482.22782,388.18595,366.20399
OxPC(8:0_14:3(CHO))+Na,624.3272,441.26116,565.253701,419.27922,421.138671,329.112451,480.21217,388.18595,366.20399
OxPC(8:0_15:1(CHO))+Na,642.37415,459.30811,583.300651,437.32617,439.185621,329.112451,498.25912,388.18595,366.20399
OxPC(8:0_15:2(CHO))+Na,640.3585,457.29246,581.285001,435.31052,437.169971,329.112451,496.24347,388.18595,366.20399
OxPC(8:0_15:3(CHO))+Na,638.34285,455.27681,579.269351,433.29487,435.154321,329.112451,494.22782,388.18595,366.20399
OxPC(8:0_15:4(CHO))+Na,636.3272,453.26116,577.253701,431.27922,433.138671,329.112451,492.21217,388.18595,366.20399
OxPC(8:0_16:1(CHO))+Na,656.3898,473.32376,597.316301,451.34182,453.201271,329.112451,512.27477,388.18595,366.20399
OxPC(8:0_16:2(CHO))+Na,654.37415,471.30811,595.300651,449.32617,451.185621,329.112451,510.25912,388.18595,366.20399
OxPC(8:0_16:3(CHO))+Na,652.3585,469.29246,593.285001,447.31052,449.169971,329.112451,508.24347,388.18595,366.20399
OxPC(8:0_16:4(CHO))+Na,650.34285,467.27681,591.269351,445.29487,447.154321,329.112451,506.22782,388.18595,366.20399
OxPC(8:0_17:4(CHO))+Na,664.3585,481.29246,605.285001,459.31052,461.169971,329.112451,520.24347,388.18595,366.20399
OxPC(8:0_18:4(CHO))+Na,678.37415,495.30811,619.300651,473.32617,475.185621,329.112451,534.25912,388.18595,366.20399
