OxPC,[M+C2H3O2]-,[M-CH3]-,FA SN2,FA SN2-H2O,FA SN2-2H2O,FA SN1,C7H15NO5P
OxPC(16:0_18:0(1O))+C2H3O2,836.6017,762.5649,299.2592,281.2486,0.01,255.2323,224.0693
OxPC(16:0_18:0(1O(1Cyc)))+C2H3O2,834.5861,760.5493,297.2435,0.01,0.01,255.2323,224.0693
OxPC(16:0_18:0(2O))+C2H3O2,852.5966,778.5598,315.2541,297.2435,279.233,255.2323,224.0693
OxPC(16:0_18:1(1O))+C2H3O2,834.5861,760.5493,297.2435,279.233,0.01,255.2323,224.0693
OxPC(16:0_18:1(1O(1Cyc)))+C2H3O2,832.5704,758.5336,295.2279,0.01,0.01,255.2323,224.0693
OxPC(16:0_18:1(2O))+C2H3O2,850.5809,776.5442,313.2384,295.2279,277.2173,255.2323,224.0693
OxPC(16:0_18:1(3O))+C2H3O2,866.5759,792.5391,329.2333,311.2228,293.2122,255.2323,224.0693
OxPC(16:0_18:2(1O))+C2H3O2,832.5704,758.5336,295.2279,277.2173,0.01,255.2323,224.0693
OxPC(16:0_18:2(2O))+C2H3O2,848.5653,774.5285,311.2228,293.2122,275.2017,255.2323,224.0693
OxPC(16:0_18:3(1O))+C2H3O2,830.5547,756.5179,293.2122,275.2017,0.01,255.2323,224.0693
OxPC(16:0_20:3(1O))+C2H3O2,858.5861,784.5493,321.2435,303.233,0.01,255.2323,224.0693
OxPC(16:0_20:3(1O(1Cyc)))+C2H3O2,856.5704,782.5336,319.2279,0.01,0.01,255.2323,224.0693
OxPC(16:0_20:3(2O))+C2H3O2,874.5809,800.5442,337.2384,319.2279,301.2173,255.2323,224.0693
OxPC(16:0_20:3(2O(1Cyc)))+C2H3O2,872.5653,798.5285,335.2228,317.2122,0.01,255.2323,224.0693
OxPC(16:0_20:3(3O))+C2H3O2,890.5759,816.5391,353.2333,335.2228,317.2122,255.2323,224.0693
OxPC(16:0_20:3(4O(1Cyc)))+C2H3O2,906.5707,832.534,369.2283,351.2177,333.2072,255.2323,224.0693
OxPC(16:0_20:4(1O))+C2H3O2,856.5704,782.5336,319.2279,301.2173,0.01,255.2323,224.0693
OxPC(16:0_20:4(1O(1Cyc)))+C2H3O2,854.5547,780.5179,317.2122,0.01,0.01,255.2323,224.0693
OxPC(16:0_20:4(2O))+C2H3O2,872.5653,798.5285,335.2228,317.2122,299.2017,255.2323,224.0693
OxPC(16:0_20:4(3O))+C2H3O2,888.5602,814.5234,351.2177,333.2072,315.1966,255.2323,224.0693
OxPC(16:0_20:4(3O(2Cyc)))+C2H3O2,888.5602,814.5234,351.2177,333.2072,0.01,255.2323,224.0693
OxPC(16:0_20:4(4O(1Cyc)))+C2H3O2,904.5551,830.5183,367.2126,349.2021,331.1915,255.2323,224.0693
OxPC(16:0_20:4(4O(2Cyc)))+C2H3O2,904.5551,830.5183,367.2126,349.2021,331.1915,255.2323,224.0693
OxPC(16:0_20:5(1O))+C2H3O2,854.5547,780.5179,317.2122,299.2017,0.01,255.2323,224.0693
OxPC(16:0_20:5(1O(1Cyc)))+C2H3O2,852.5391,778.5023,315.1966,0.01,0.01,255.2323,224.0693
OxPC(16:0_20:5(2O))+C2H3O2,870.5496,796.5129,333.2071,315.1966,297.186,255.2323,224.0693
OxPC(16:0_20:5(3O))+C2H3O2,886.5446,812.5078,349.2021,331.1915,313.1809,255.2323,224.0693
OxPC(16:0_20:5(3O(2Cyc)))+C2H3O2,886.5446,812.5078,349.2021,331.1915,0.01,255.2323,224.0693
OxPC(16:0_20:5(4O(2Cyc)))+C2H3O2,902.5395,828.5027,365.197,347.1864,329.1758,255.2323,224.0693
OxPC(16:0_22:5(1O(1Cyc)))+C2H3O2,880.5704,806.5336,343.2279,0.01,0.01,255.2323,224.0693
OxPC(16:0_22:5(2O))+C2H3O2,898.5809,824.5442,361.2384,343.2279,325.2173,255.2323,224.0693
OxPC(16:0_22:6(1O))+C2H3O2,880.5704,806.5336,343.2279,325.2173,0.01,255.2323,224.0693
OxPC(16:0_22:6(2O))+C2H3O2,896.5653,822.5285,359.2228,341.2122,323.2017,255.2323,224.0693
