OxPG,[M-H]-,FA SN2,FA SN2-H2O,FA SN2-2H2O,FA SN1
OxPG(16:0_18:0(1O))-H,765.5282,299.2592,281.2486,0.01,255.2323
OxPG(16:0_18:0(1O(1Cyc)))-H,763.5125,297.2435,0.01,0.01,255.2323
OxPG(16:0_18:0(2O))-H,781.5231,315.2541,297.2435,279.233,255.2323
OxPG(16:0_18:1(1O))-H,763.5125,297.2435,279.233,0.01,255.2323
OxPG(16:0_18:1(1O(1Cyc)))-H,761.4969,295.2279,0.01,0.01,255.2323
OxPG(16:0_18:1(2O))-H,779.5074,313.2384,295.2279,277.2173,255.2323
OxPG(16:0_18:1(3O))-H,795.5024,329.2333,311.2228,293.2122,255.2323
OxPG(16:0_18:2(1O))-H,761.4969,295.2279,277.2173,0.01,255.2323
OxPG(16:0_18:2(2O))-H,777.4918,311.2228,293.2122,275.2017,255.2323
OxPG(16:0_18:3(1O))-H,759.4812,293.2122,275.2017,0.01,255.2323
OxPG(16:0_20:3(1O))-H,787.5125,321.2435,303.233,0.01,255.2323
OxPG(16:0_20:3(1O(1Cyc)))-H,785.4969,319.2279,0.01,0.01,255.2323
OxPG(16:0_20:3(2O))-H,803.5074,337.2384,319.2279,301.2173,255.2323
OxPG(16:0_20:3(2O(1Cyc)))-H,801.4918,335.2228,317.2122,0.01,255.2323
OxPG(16:0_20:3(3O))-H,819.5024,353.2333,335.2228,317.2122,255.2323
OxPG(16:0_20:3(4O(1Cyc)))-H,835.4973,369.2283,351.2177,333.2072,255.2323
OxPG(16:0_20:4(1O))-H,785.4969,319.2279,301.2173,0.01,255.2323
OxPG(16:0_20:4(1O(1Cyc)))-H,783.4812,317.2122,0.01,0.01,255.2323
OxPG(16:0_20:4(2O))-H,801.4918,335.2228,317.2122,299.2017,255.2323
OxPG(16:0_20:4(3O))-H,817.4867,351.2177,333.2072,315.1966,255.2323
OxPG(16:0_20:4(3O(2Cyc)))-H,817.4867,351.2177,333.2072,0.01,255.2323
OxPG(16:0_20:4(4O(1Cyc)))-H,833.4816,367.2126,349.2021,331.1915,255.2323
OxPG(16:0_20:4(4O(2Cyc)))-H,833.4816,367.2126,349.2021,331.1915,255.2323
OxPG(16:0_20:5(1O))-H,783.4812,317.2122,299.2017,0.01,255.2323
OxPG(16:0_20:5(1O(1Cyc)))-H,781.4656,315.1966,0.01,0.01,255.2323
OxPG(16:0_20:5(2O))-H,799.4761,333.2071,315.1966,297.186,255.2323
OxPG(16:0_20:5(3O))-H,815.4711,349.2021,331.1915,313.1809,255.2323
OxPG(16:0_20:5(3O(2Cyc)))-H,815.4711,349.2021,331.1915,0.01,255.2323
OxPG(16:0_20:5(4O(2Cyc)))-H,831.4659,365.197,347.1864,329.1758,255.2323
OxPG(16:0_22:5(1O(1Cyc)))-H,809.4969,343.2279,0.01,0.01,255.2323
OxPG(16:0_22:5(2O))-H,827.5074,361.2384,343.2279,325.2173,255.2323
OxPG(16:0_22:6(1O))-H,809.4969,343.2279,325.2173,0.01,255.2323
OxPG(16:0_22:6(2O))-H,825.4918,359.2228,341.2122,323.2017,255.2323
OxPG(16:0_22:6(3O))-H,841.4867,375.2177,357.2072,339.1966,255.2323
OxPG(16:0_22:6(4O))-H,857.4816,391.2126,373.2021,355.1915,255.2323
OxPG(18:0_18:0(1O))-H,793.5595,299.2592,281.2486,0.01,283.2635
OxPG(18:0_18:0(1O(1Cyc)))-H,791.5438,297.2435,0.01,0.01,283.2635
OxPG(18:0_18:0(2O))-H,809.5544,315.2541,297.2435,279.233,283.2635
OxPG(18:0_18:1(1O))-H,791.5438,297.2435,279.233,0.01,283.2635
OxPG(18:0_18:1(1O(1Cyc)))-H,789.5282,295.2279,0.01,0.01,283.2635
OxPG(18:0_18:1(2O))-H,807.5388,313.2384,295.2279,277.2173,283.2635
OxPG(18:0_18:1(3O))-H,823.5336,329.2333,311.2228,293.2122,283.2635
OxPG(18:0_18:2(1O))-H,789.5282,295.2279,277.2173,0.01,283.2635
OxPG(18:0_18:2(2O))-H,805.5231,311.2228,293.2122,275.2017,283.2635
OxPG(18:0_18:3(1O))-H,787.5125,293.2122,275.2017,0.01,283.2635
OxPG(18:0_20:3(1O))-H,815.5438,321.2435,303.233,0.01,283.2635
OxPG(18:0_20:3(1O(1Cyc)))-H,813.5282,319.2279,0.01,0.01,283.2635
OxPG(18:0_20:3(2O))-H,831.5388,337.2384,319.2279,301.2173,283.2635
OxPG(18:0_20:3(2O(1Cyc)))-H,829.5231,335.2228,317.2122,0.01,283.2635
OxPG(18:0_20:3(3O))-H,847.5336,353.2333,335.2228,317.2122,283.2635
OxPG(18:0_20:3(4O(1Cyc)))-H,863.5286,369.2283,351.2177,333.2072,283.2635
OxPG(18:0_20:4(1O))-H,813.5282,319.2279,301.2173,0.01,283.2635
OxPG(18:0_20:4(1O(1Cyc)))-H,811.5125,317.2122,0.01,0.01,283.2635
OxPG(18:0_20:4(2O))-H,829.5231,335.2228,317.2122,299.2017,283.2635
OxPG(18:0_20:4(3O))-H,845.518,351.2177,333.2072,315.1966,283.2635
OxPG(18:0_20:4(3O(2Cyc)))-H,845.518,351.2177,333.2072,0.01,283.2635
OxPG(18:0_20:4(4O(1Cyc)))-H,861.5129,367.2126,349.2021,331.1915,283.2635
OxPG(18:0_20:4(4O(2Cyc)))-H,861.5129,367.2126,349.2021,331.1915,283.2635
OxPG(18:0_20:5(1O))-H,811.5125,317.2122,299.2017,0.01,283.2635
OxPG(18:0_20:5(1O(1Cyc)))-H,809.4969,315.1966,0.01,0.01,283.2635
OxPG(18:0_20:5(2O))-H,827.5074,333.2071,315.1966,297.186,283.2635
OxPG(18:0_20:5(3O))-H,843.5024,349.2021,331.1915,313.1809,283.2635
OxPG(18:0_20:5(3O(2Cyc)))-H,843.5024,349.2021,331.1915,0.01,283.2635
OxPG(18:0_20:5(4O(2Cyc)))-H,859.4973,365.197,347.1864,329.1758,283.2635
OxPG(18:0_22:5(1O(1Cyc)))-H,837.5282,343.2279,0.01,0.01,283.2635
OxPG(18:0_22:5(2O))-H,855.5388,361.2384,343.2279,325.2173,283.2635
