OxPS,[M-H]-,NL of C3H5NO2,FA SN2,FA SN2-H2O,FA SN2-2H2O,FA SN1
OxPS(16:0_18:0(1O))-H,778.5234,691.4914,299.2592,281.2486,0.01,255.2323
OxPS(16:0_18:0(1O(1Cyc)))-H,776.5078,689.4758,297.2435,0.01,0.01,255.2323
OxPS(16:0_18:0(2O))-H,794.5183,707.4863,315.2541,297.2435,279.233,255.2323
OxPS(16:0_18:1(1O))-H,776.5078,689.4758,297.2435,279.233,0.01,255.2323
OxPS(16:0_18:1(1O(1Cyc)))-H,774.4921,687.4601,295.2279,0.01,0.01,255.2323
OxPS(16:0_18:1(2O))-H,792.5027,705.4706,313.2384,295.2279,277.2173,255.2323
OxPS(16:0_18:1(3O))-H,808.4976,721.4656,329.2333,311.2228,293.2122,255.2323
OxPS(16:0_18:2(1O))-H,774.4921,687.4601,295.2279,277.2173,0.01,255.2323
OxPS(16:0_18:2(2O))-H,790.4871,703.455,311.2228,293.2122,275.2017,255.2323
OxPS(16:0_18:3(1O))-H,772.4765,685.4445,293.2122,275.2017,0.01,255.2323
OxPS(16:0_20:3(1O))-H,800.5078,713.4758,321.2435,303.233,0.01,255.2323
OxPS(16:0_20:3(1O(1Cyc)))-H,798.4921,711.4601,319.2279,0.01,0.01,255.2323
OxPS(16:0_20:3(2O))-H,816.5027,729.4706,337.2384,319.2279,301.2173,255.2323
OxPS(16:0_20:3(2O(1Cyc)))-H,814.4871,727.455,335.2228,317.2122,0.01,255.2323
OxPS(16:0_20:3(3O))-H,832.4976,745.4656,353.2333,335.2228,317.2122,255.2323
OxPS(16:0_20:3(4O(1Cyc)))-H,848.4925,761.4605,369.2283,351.2177,333.2072,255.2323
OxPS(16:0_20:4(1O))-H,798.4921,711.4601,319.2279,301.2173,0.01,255.2323
OxPS(16:0_20:4(1O(1Cyc)))-H,796.4765,709.4445,317.2122,0.01,0.01,255.2323
OxPS(16:0_20:4(2O))-H,814.4871,727.455,335.2228,317.2122,299.2017,255.2323
OxPS(16:0_20:4(3O))-H,830.4819,743.45,351.2177,333.2072,315.1966,255.2323
OxPS(16:0_20:4(3O(2Cyc)))-H,830.4819,743.45,351.2177,333.2072,0.01,255.2323
OxPS(16:0_20:4(4O(1Cyc)))-H,846.4769,759.4448,367.2126,349.2021,331.1915,255.2323
OxPS(16:0_20:4(4O(2Cyc)))-H,846.4769,759.4448,367.2126,349.2021,331.1915,255.2323
OxPS(16:0_20:5(1O))-H,796.4765,709.4445,317.2122,299.2017,0.01,255.2323
OxPS(16:0_20:5(1O(1Cyc)))-H,794.4608,707.4288,315.1966,0.01,0.01,255.2323
OxPS(16:0_20:5(2O))-H,812.4714,725.4393,333.2071,315.1966,297.186,255.2323
OxPS(16:0_20:5(3O))-H,828.4663,741.4343,349.2021,331.1915,313.1809,255.2323
OxPS(16:0_20:5(3O(2Cyc)))-H,828.4663,741.4343,349.2021,331.1915,0.01,255.2323
OxPS(16:0_20:5(4O(2Cyc)))-H,844.4612,757.4292,365.197,347.1864,329.1758,255.2323
OxPS(16:0_22:5(1O(1Cyc)))-H,822.4921,735.4601,343.2279,0.01,0.01,255.2323
OxPS(16:0_22:5(2O))-H,840.5027,753.4706,361.2384,343.2279,325.2173,255.2323
OxPS(16:0_22:6(1O))-H,822.4921,735.4601,343.2279,325.2173,0.01,255.2323
OxPS(16:0_22:6(2O))-H,838.4871,751.455,359.2228,341.2122,323.2017,255.2323
OxPS(16:0_22:6(3O))-H,854.4819,767.45,375.2177,357.2072,339.1966,255.2323
OxPS(16:0_22:6(4O))-H,870.4769,783.4448,391.2126,373.2021,355.1915,255.2323
OxPS(18:0_18:0(1O))-H,806.5547,719.5227,299.2592,281.2486,0.01,283.2635
OxPS(18:0_18:0(1O(1Cyc)))-H,804.5391,717.5071,297.2435,0.01,0.01,283.2635
OxPS(18:0_18:0(2O))-H,822.5496,735.5176,315.2541,297.2435,279.233,283.2635
OxPS(18:0_18:1(1O))-H,804.5391,717.5071,297.2435,279.233,0.01,283.2635
OxPS(18:0_18:1(1O(1Cyc)))-H,802.5234,715.4914,295.2279,0.01,0.01,283.2635
OxPS(18:0_18:1(2O))-H,820.534,733.502,313.2384,295.2279,277.2173,283.2635
OxPS(18:0_18:1(3O))-H,836.5289,749.4969,329.2333,311.2228,293.2122,283.2635
OxPS(18:0_18:2(1O))-H,802.5234,715.4914,295.2279,277.2173,0.01,283.2635
OxPS(18:0_18:2(2O))-H,818.5183,731.4863,311.2228,293.2122,275.2017,283.2635
OxPS(18:0_18:3(1O))-H,800.5078,713.4758,293.2122,275.2017,0.01,283.2635
OxPS(18:0_20:3(1O))-H,828.5391,741.5071,321.2435,303.233,0.01,283.2635
OxPS(18:0_20:3(1O(1Cyc)))-H,826.5234,739.4914,319.2279,0.01,0.01,283.2635
OxPS(18:0_20:3(2O))-H,844.534,757.502,337.2384,319.2279,301.2173,283.2635
OxPS(18:0_20:3(2O(1Cyc)))-H,842.5183,755.4863,335.2228,317.2122,0.01,283.2635
OxPS(18:0_20:3(3O))-H,860.5289,773.4969,353.2333,335.2228,317.2122,283.2635
OxPS(18:0_20:3(4O(1Cyc)))-H,876.5238,789.4918,369.2283,351.2177,333.2072,283.2635
OxPS(18:0_20:4(1O))-H,826.5234,739.4914,319.2279,301.2173,0.01,283.2635
OxPS(18:0_20:4(1O(1Cyc)))-H,824.5078,737.4758,317.2122,0.01,0.01,283.2635
OxPS(18:0_20:4(2O))-H,842.5183,755.4863,335.2228,317.2122,299.2017,283.2635
OxPS(18:0_20:4(3O))-H,858.5132,771.4812,351.2177,333.2072,315.1966,283.2635
OxPS(18:0_20:4(3O(2Cyc)))-H,858.5132,771.4812,351.2177,333.2072,0.01,283.2635
OxPS(18:0_20:4(4O(1Cyc)))-H,874.5082,787.4761,367.2126,349.2021,331.1915,283.2635
OxPS(18:0_20:4(4O(2Cyc)))-H,874.5082,787.4761,367.2126,349.2021,331.1915,283.2635
OxPS(18:0_20:5(1O))-H,824.5078,737.4758,317.2122,299.2017,0.01,283.2635
OxPS(18:0_20:5(1O(1Cyc)))-H,822.4921,735.4601,315.1966,0.01,0.01,283.2635
OxPS(18:0_20:5(2O))-H,840.5027,753.4706,333.2071,315.1966,297.186,283.2635
OxPS(18:0_20:5(3O))-H,856.4976,769.4656,349.2021,331.1915,313.1809,283.2635
OxPS(18:0_20:5(3O(2Cyc)))-H,856.4976,769.4656,349.2021,331.1915,0.01,283.2635
OxPS(18:0_20:5(4O(2Cyc)))-H,872.4925,785.4605,365.197,347.1864,329.1758,283.2635
OxPS(18:0_22:5(1O(1Cyc)))-H,850.5234,763.4914,343.2279,0.01,0.01,283.2635
OxPS(18:0_22:5(2O))-H,868.534,781.502,361.2384,343.2279,325.2173,283.2635
OxPS(18:0_22:6(1O))-H,850.5234,763.4914,343.2279,325.2173,0.01,283.2635
OxPS(18:0_22:6(2O))-H,866.5183,779.4863,359.2228,341.2122,323.2017,283.2635
OxPS(18:0_22:6(3O))-H,882.5132,795.4812,375.2177,357.2072,339.1966,283.2635
OxPS(18:0_22:6(4O))-H,898.5082,811.4761,391.2126,373.2021,355.1915,283.2635
OxPS(18:1_18:0(1O))-H,804.5391,717.5071,299.2592,281.2486,0.01,281.2479
OxPS(18:1_18:0(1O(1Cyc)))-H,802.5234,715.4914,297.2435,0.01,0.01,281.2479
OxPS(18:1_18:0(2O))-H,820.534,733.502,315.2541,297.2435,279.233,281.2479
OxPS(18:1_18:1(1O))-H,802.5234,715.4914,297.2435,279.233,0.01,281.2479
OxPS(18:1_18:1(1O(1Cyc)))-H,800.5078,713.4758,295.2279,0.01,0.01,281.2479
OxPS(18:1_18:1(2O))-H,818.5183,731.4863,313.2384,295.2279,277.2173,281.2479
OxPS(18:1_18:1(3O))-H,834.5132,747.4812,329.2333,311.2228,293.2122,281.2479
OxPS(18:1_18:2(1O))-H,800.5078,713.4758,295.2279,277.2173,0.01,281.2479
OxPS(18:1_18:2(2O))-H,816.5027,729.4706,311.2228,293.2122,275.2017,281.2479
OxPS(18:1_18:3(1O))-H,798.4921,711.4601,293.2122,275.2017,0.01,281.2479
OxPS(18:1_20:3(1O))-H,826.5234,739.4914,321.2435,303.233,0.01,281.2479
OxPS(18:1_20:3(1O(1Cyc)))-H,824.5078,737.4758,319.2279,0.01,0.01,281.2479
OxPS(18:1_20:3(2O))-H,842.5183,755.4863,337.2384,319.2279,301.2173,281.2479
OxPS(18:1_20:3(2O(1Cyc)))-H,840.5027,753.4706,335.2228,317.2122,0.01,281.2479
OxPS(18:1_20:3(3O))-H,858.5132,771.4812,353.2333,335.2228,317.2122,281.2479
OxPS(18:1_20:3(4O(1Cyc)))-H,874.5082,787.4761,369.2283,351.2177,333.2072,281.2479
OxPS(18:1_20:4(1O))-H,824.5078,737.4758,319.2279,301.2173,0.01,281.2479
OxPS(18:1_20:4(1O(1Cyc)))-H,822.4921,735.4601,317.2122,0.01,0.01,281.2479
OxPS(18:1_20:4(2O))-H,840.5027,753.4706,335.2228,317.2122,299.2017,281.2479
OxPS(18:1_20:4(3O))-H,856.4976,769.4656,351.2177,333.2072,315.1966,281.2479
OxPS(18:1_20:4(3O(2Cyc)))-H,856.4976,769.4656,351.2177,333.2072,0.01,281.2479
OxPS(18:1_20:4(4O(1Cyc)))-H,872.4925,785.4605,367.2126,349.2021,331.1915,281.2479
OxPS(18:1_20:4(4O(2Cyc)))-H,872.4925,785.4605,367.2126,349.2021,331.1915,281.2479
OxPS(18:1_20:5(1O))-H,822.4921,735.4601,317.2122,299.2017,0.01,281.2479
OxPS(18:1_20:5(1O(1Cyc)))-H,820.4765,733.4445,315.1966,0.01,0.01,281.2479
OxPS(18:1_20:5(2O))-H,838.4871,751.455,333.2071,315.1966,297.186,281.2479
OxPS(18:1_20:5(3O))-H,854.4819,767.45,349.2021,331.1915,313.1809,281.2479
OxPS(18:1_20:5(3O(2Cyc)))-H,854.4819,767.45,349.2021,331.1915,0.01,281.2479
OxPS(18:1_20:5(4O(2Cyc)))-H,870.4769,783.4448,365.197,347.1864,329.1758,281.2479
OxPS(18:1_22:5(1O(1Cyc)))-H,848.5078,761.4758,343.2279,0.01,0.01,281.2479
OxPS(18:1_22:5(2O))-H,866.5183,779.4863,361.2384,343.2279,325.2173,281.2479
OxPS(18:1_22:6(1O))-H,848.5078,761.4758,343.2279,325.2173,0.01,281.2479
OxPS(18:1_22:6(2O))-H,864.5027,777.4706,359.2228,341.2122,323.2017,281.2479
OxPS(18:1_22:6(3O))-H,880.4976,793.4656,375.2177,357.2072,339.1966,281.2479
OxPS(18:1_22:6(4O))-H,896.4925,809.4605,391.2126,373.2021,355.1915,281.2479
