PC,[M+H]+,MH-PC,MH-tail1&TrimethylAmine,MH-tail2&TrimethylAmine,MH-Tail1,MH-Tail2,LPC_T1_H,LPC_T2_H,RCOO+58_T1,RCOO+58_T2,PC Head
PC(8:0_8:0)+H,510.31904,327.253,307.130511,307.130511,366.20401,366.20401,384.21459,384.21459,201.14853,201.14853,184.07332
PC(8:0_10:0)+H,538.35034,355.2843,335.161811,307.130511,394.23531,366.20401,384.21459,412.24589,201.14853,229.17983,184.07332
PC(8:0_12:0)+H,566.38164,383.3156,363.193111,307.130511,422.26661,366.20401,384.21459,440.27719,201.14853,257.21113,184.07332
PC(8:0_13:0)+H,580.39734,397.3313,377.208811,307.130511,436.28231,366.20401,384.21459,454.29289,201.14853,271.22683,184.07332
PC(8:0_14:0)+H,594.41294,411.3469,391.224411,307.130511,450.29791,366.20401,384.21459,468.30849,201.14853,285.24243,184.07332
PC(8:0_14:1)+H,592.39734,409.3313,389.208811,307.130511,448.28231,366.20401,384.21459,466.29289,201.14853,283.22683,184.07332
PC(8:0_15:0)+H,608.42864,425.3626,405.240111,307.130511,464.31361,366.20401,384.21459,482.32419,201.14853,299.25813,184.07332
PC(8:0_15:1)+H,606.41294,423.3469,403.224411,307.130511,462.29791,366.20401,384.21459,480.30849,201.14853,297.24243,184.07332
PC(8:0_16:0)+H,622.44424,439.3782,419.255711,307.130511,478.32921,366.20401,384.21459,496.33979,201.14853,313.27373,184.07332
PC(8:0_16:1)+H,620.42864,437.3626,417.240111,307.130511,476.31361,366.20401,384.21459,494.32419,201.14853,311.25813,184.07332
PC(8:0_17:0)+H,636.45994,453.3939,433.271411,307.130511,492.34491,366.20401,384.21459,510.35549,201.14853,327.28943,184.07332
PC(8:0_17:1)+H,634.44424,451.3782,431.255711,307.130511,490.32921,366.20401,384.21459,508.33979,201.14853,325.27373,184.07332
PC(8:0_17:2)+H,632.42864,449.3626,429.240111,307.130511,488.31361,366.20401,384.21459,506.32419,201.14853,323.25813,184.07332
