PI,[M+NH4]+,NL_Head
PI(16:0)+NH4,604.3093,327.2531
PI(18:0)+NH4,632.3406,355.2844
PI(20:0)+NH4,660.3719,383.3157
PI(21:0)+NH4,674.3876,397.3314
PI(22:0)+NH4,688.4032,411.347
PI(22:1)+NH4,686.3876,409.3314
PI(23:0)+NH4,702.4189,425.3627
PI(23:1)+NH4,700.4032,423.347
PI(24:0)+NH4,716.4345,439.3783
PI(24:1)+NH4,714.4189,437.3627
PI(25:0)+NH4,730.4502,453.394
PI(25:1)+NH4,728.4345,451.3783
PI(25:2)+NH4,726.4189,449.3627
PI(26:0)+NH4,744.4658,467.4096
PI(26:1)+NH4,742.4502,465.394
PI(26:2)+NH4,740.4345,463.3783
PI(26:3)+NH4,738.4189,461.3627
PI(26:4)+NH4,736.4032,459.347
PI(27:0)+NH4,758.4815,481.4253
PI(27:1)+NH4,756.4658,479.4096
PI(27:2)+NH4,754.4502,477.394
PI(28:0)+NH4,772.4971,495.4409
PI(28:1)+NH4,770.4815,493.4253
PI(28:2)+NH4,768.4658,491.4096
PI(28:3)+NH4,766.4502,489.394
PI(28:4)+NH4,764.4345,487.3783
PI(28:5)+NH4,762.4189,485.3627
PI(29:0)+NH4,786.5128,509.4566
PI(29:1)+NH4,784.4971,507.4409
PI(29:2)+NH4,782.4815,505.4253
PI(30:0)+NH4,800.5284,523.4722
PI(30:1)+NH4,798.5128,521.4566
PI(30:2)+NH4,796.4971,519.4409
PI(30:3)+NH4,794.4815,517.4253
PI(30:4)+NH4,792.4658,515.4096
PI(30:5)+NH4,790.4502,513.394
PI(30:6)+NH4,788.4345,511.3783
PI(31:0)+NH4,814.5441,537.4879
PI(31:1)+NH4,812.5285,535.4723
PI(31:2)+NH4,810.5128,533.4566
PI(31:3)+NH4,808.4972,531.441
PI(31:4)+NH4,806.4815,529.4253
PI(32:0)+NH4,828.5597,551.5035
PI(32:1)+NH4,826.5441,549.4879
PI(32:2)+NH4,824.5284,547.4722
PI(32:3)+NH4,822.5128,545.4566
PI(32:4)+NH4,820.4971,543.4409
PI(32:5)+NH4,818.4815,541.4253
PI(32:6)+NH4,816.4658,539.4096
PI(33:0)+NH4,842.5754,565.5192
PI(33:1)+NH4,840.5598,563.5036
PI(33:2)+NH4,838.5441,561.4879
PI(33:3)+NH4,836.5285,559.4723
PI(33:4)+NH4,834.5128,557.4566
PI(33:5)+NH4,832.4972,555.441
PI(34:0)+NH4,856.591,579.5348
PI(34:1)+NH4,854.5754,577.5192
PI(34:2)+NH4,852.5597,575.5035
PI(34:3)+NH4,850.5441,573.4879
PI(34:4)+NH4,848.5284,571.4722
PI(34:5)+NH4,846.5128,569.4566
PI(34:6)+NH4,844.4971,567.4409
PI(35:0)+NH4,870.6067,593.5505
PI(35:1)+NH4,868.5911,591.5349
PI(35:2)+NH4,866.5754,589.5192
PI(35:3)+NH4,864.5598,587.5036
PI(35:4)+NH4,862.5441,585.4879
PI(35:5)+NH4,860.5285,583.4723
PI(35:6)+NH4,858.5128,581.4566
PI(36:0)+NH4,884.6223,607.5661
PI(36:1)+NH4,882.6067,605.5505
PI(36:2)+NH4,880.591,603.5348
PI(36:3)+NH4,878.5754,601.5192
PI(36:4)+NH4,876.5597,599.5035
PI(36:5)+NH4,874.5441,597.4879
PI(36:6)+NH4,872.5284,595.4722
PI(36:7)+NH4,870.5128,593.4566
PI(36:8)+NH4,868.4971,591.4409
PI(37:0)+NH4,898.638,621.5818
PI(37:1)+NH4,896.6224,619.5662
PI(37:2)+NH4,894.6067,617.5505
PI(37:3)+NH4,892.5911,615.5349
PI(37:4)+NH4,890.5754,613.5192
PI(37:5)+NH4,888.5598,611.5036
PI(37:6)+NH4,886.5441,609.4879
PI(37:7)+NH4,884.5284,607.4722
PI(38:0)+NH4,912.6536,635.5974
PI(38:1)+NH4,910.638,633.5818
PI(38:2)+NH4,908.6224,631.5662
PI(38:3)+NH4,906.6067,629.5505
PI(38:4)+NH4,904.591,627.5348
PI(38:5)+NH4,902.5754,625.5192
PI(38:6)+NH4,900.5597,623.5035
PI(38:7)+NH4,898.5441,621.4879
PI(38:8)+NH4,896.5285,619.4723
PI(38:9)+NH4,894.5128,617.4566
PI(39:0)+NH4,926.6693,649.6131
PI(39:1)+NH4,924.6537,647.5975
PI(39:2)+NH4,922.638,645.5818
PI(39:3)+NH4,920.6224,643.5662
PI(39:4)+NH4,918.6067,641.5505
PI(39:5)+NH4,916.5911,639.5349
PI(39:6)+NH4,914.5754,637.5192
PI(39:7)+NH4,912.5597,635.5035
PI(39:8)+NH4,910.5441,633.4879
PI(40:0)+NH4,940.6849,663.6287
PI(40:1)+NH4,938.6693,661.6131
