ether-PS,[M+H]+,MH-PC
Plasmanyl-PS(24:0)+H,610.40792,425.39897
Plasmanyl-PS(26:0)+H,638.43922,453.43027
Plasmanyl-PS(28:0)+H,666.47052,481.46157
Plasmanyl-PS(29:0)+H,680.48622,495.47727
Plasmanyl-PS(30:0)+H,694.50182,509.49287
Plasmanyl-PS(30:1)+H,692.48622,507.47727
Plasmanyl-PS(31:0)+H,708.51752,523.50857
Plasmanyl-PS(31:1)+H,706.50182,521.49287
Plasmanyl-PS(32:0)+H,722.53312,537.52417
Plasmanyl-PS(32:1)+H,720.51752,535.50857
Plasmanyl-PS(33:0)+H,736.54882,551.53987
Plasmanyl-PS(33:1)+H,734.53312,549.52417
Plasmanyl-PS(33:2)+H,732.51752,547.50857
Plasmanyl-PS(34:0)+H,750.56442,565.55547
Plasmanyl-PS(34:1)+H,748.54882,563.53987
Plasmanyl-PS(34:2)+H,746.53312,561.52417
Plasmanyl-PS(34:3)+H,744.51752,559.50857
Plasmanyl-PS(34:4)+H,742.50182,557.49287
Plasmanyl-PS(35:0)+H,764.58012,579.57117
Plasmanyl-PS(35:1)+H,762.56442,577.55547
Plasmanyl-PS(35:2)+H,760.54882,575.53987
Plasmanyl-PS(36:0)+H,778.59572,593.58677
Plasmanyl-PS(36:1)+H,776.58012,591.57117
Plasmanyl-PS(36:2)+H,774.56442,589.55547
Plasmanyl-PS(36:3)+H,772.54882,587.53987
Plasmanyl-PS(36:4)+H,770.53312,585.52417
Plasmanyl-PS(36:5)+H,768.51752,583.50857
Plasmanyl-PS(37:0)+H,792.61142,607.60247
Plasmanyl-PS(37:1)+H,790.59572,605.58677
Plasmanyl-PS(37:2)+H,788.58012,603.57117
Plasmanyl-PS(38:0)+H,806.62702,621.61807
Plasmanyl-PS(38:1)+H,804.61142,619.60247
Plasmanyl-PS(38:2)+H,802.59572,617.58677
Plasmanyl-PS(38:3)+H,800.58012,615.57117
Plasmanyl-PS(38:4)+H,798.56442,613.55547
Plasmanyl-PS(38:5)+H,796.54882,611.53987
Plasmanyl-PS(38:6)+H,794.53312,609.52417
Plasmanyl-PS(39:0)+H,820.64272,635.63377
Plasmanyl-PS(40:0)+H,834.65832,649.64937
Plasmanyl-PS(40:1)+H,832.64272,647.63377
Plasmanyl-PS(40:2)+H,830.62702,645.61807
Plasmanyl-PS(40:3)+H,828.61142,643.60247
Plasmanyl-PS(40:4)+H,826.59572,641.58677
Plasmanyl-PS(40:5)+H,824.58012,639.57117
Plasmanyl-PS(40:6)+H,822.56442,637.55547
Plasmanyl-PS(41:0)+H,848.67402,663.66507
Plasmanyl-PS(42:0)+H,862.68962,677.68067
Plasmanyl-PS(42:1)+H,860.67402,675.66507
Plasmanyl-PS(42:2)+H,858.65832,673.64937
Plasmanyl-PS(42:3)+H,856.64272,671.63377
Plasmanyl-PS(42:4)+H,854.62702,669.61807
Plasmanyl-PS(42:5)+H,852.61142,667.60247
Plasmanyl-PS(42:6)+H,850.59572,665.58677
Plasmanyl-PS(43:0)+H,876.70532,691.69637
Plasmanyl-PS(44:0)+H,890.72092,705.71197
Plasmanyl-PS(44:1)+H,888.70532,703.69637
Plasmanyl-PS(45:0)+H,904.73662,719.72767
Plasmanyl-PS(46:0)+H,918.75222,733.74327
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
,1.942962363,
