SM,[M+H]+,MH-PC,MH-N(CH3)3,Mprev-H2O,MH-PC-Tail,d(MH-Tail),PC Head,CH2CHN(CH3)3
SM(d10:0/10:0)+H,509.37137,326.30533,450.29783,308.29467,154.158945,152.143285,184.07332,86.09648
SM(d10:0/12:0)+H,537.40267,354.33663,478.32913,336.32597,154.158945,180.174585,184.07332,86.09648
SM(d10:0/13:0)+H,551.41837,368.35233,492.34483,350.34167,154.158945,194.190285,184.07332,86.09648
SM(d10:0/14:0)+H,565.43397,382.36793,506.36043,364.35727,154.158945,208.205885,184.07332,86.09648
SM(d10:0/14:1)+H,563.41837,380.35233,504.34483,362.34167,154.158945,206.190285,184.07332,86.09648
SM(d10:0/15:0)+H,579.44967,396.38363,520.37613,378.37297,154.158945,222.221585,184.07332,86.09648
SM(d10:0/15:1)+H,577.43397,394.36793,518.36043,376.35727,154.158945,220.205885,184.07332,86.09648
SM(d10:0/16:0)+H,593.46527,410.39923,534.39173,392.38857,154.158945,236.237185,184.07332,86.09648
SM(d10:0/16:1)+H,591.44967,408.38363,532.37613,390.37297,154.158945,234.221585,184.07332,86.09648
SM(d10:0/17:0)+H,607.48097,424.41493,548.40743,406.40427,154.158945,250.252885,184.07332,86.09648
SM(d10:0/17:1)+H,605.46527,422.39923,546.39173,404.38857,154.158945,248.237185,184.07332,86.09648
SM(d10:0/17:2)+H,603.44967,420.38363,544.37613,402.37297,154.158945,246.221585,184.07332,86.09648
SM(d10:0/18:0)+H,621.49657,438.43053,562.42303,420.41987,154.158945,264.268485,184.07332,86.09648
SM(d10:0/18:1)+H,619.48097,436.41493,560.40743,418.40427,154.158945,262.252885,184.07332,86.09648
SM(d10:0/18:2)+H,617.46527,434.39923,558.39173,416.38857,154.158945,260.237185,184.07332,86.09648
SM(d10:0/18:3)+H,615.44967,432.38363,556.37613,414.37297,154.158945,258.221585,184.07332,86.09648
SM(d10:0/18:4)+H,613.43397,430.36793,554.36043,412.35727,154.158945,256.205885,184.07332,86.09648
SM(d10:0/19:0)+H,635.51227,452.44623,576.43873,434.43557,154.158945,278.284185,184.07332,86.09648
SM(d10:0/20:0)+H,649.52787,466.46183,590.45433,448.45117,154.158945,292.299785,184.07332,86.09648
SM(d10:0/20:1)+H,647.51227,464.44623,588.43873,446.43557,154.158945,290.284185,184.07332,86.09648
SM(d10:0/20:2)+H,645.49657,462.43053,586.42303,444.41987,154.158945,288.268485,184.07332,86.09648
SM(d10:0/20:3)+H,643.48097,460.41493,584.40743,442.40427,154.158945,286.252885,184.07332,86.09648
SM(d10:0/20:4)+H,641.46527,458.39923,582.39173,440.38857,154.158945,284.237185,184.07332,86.09648
SM(d10:0/20:5)+H,639.44967,456.38363,580.37613,438.37297,154.158945,282.221585,184.07332,86.09648
SM(d10:0/21:0)+H,663.54357,480.47753,604.47003,462.46687,154.158945,306.315485,184.07332,86.09648
SM(d10:0/22:0)+H,677.55917,494.49313,618.48563,476.48247,154.158945,320.331085,184.07332,86.09648
SM(d10:0/22:1)+H,675.54357,492.47753,616.47003,474.46687,154.158945,318.315485,184.07332,86.09648
SM(d10:0/22:2)+H,673.52787,490.46183,614.45433,472.45117,154.158945,316.299785,184.07332,86.09648
SM(d10:0/22:3)+H,671.51227,488.44623,612.43873,470.43557,154.158945,314.284185,184.07332,86.09648
SM(d10:0/22:4)+H,669.49657,486.43053,610.42303,468.41987,154.158945,312.268485,184.07332,86.09648
SM(d10:0/22:5)+H,667.48097,484.41493,608.40743,466.40427,154.158945,310.252885,184.07332,86.09648
SM(d10:0/22:6)+H,665.46527,482.39923,606.39173,464.38857,154.158945,308.237185,184.07332,86.09648
SM(d10:0/23:0)+H,691.57487,508.50883,632.50133,490.49817,154.158945,334.346785,184.07332,86.09648
SM(d10:0/24:0)+H,705.59047,522.52443,646.51693,504.51377,154.158945,348.362385,184.07332,86.09648
SM(d10:0/24:1)+H,703.57487,520.50883,644.50133,502.49817,154.158945,346.346785,184.07332,86.09648
SM(d10:0/25:0)+H,719.60617,536.54013,660.53263,518.52947,154.158945,362.378085,184.07332,86.09648
SM(d10:0/26:0)+H,733.62177,550.55573,674.54823,532.54507,154.158945,376.393685,184.07332,86.09648
SM(d10:0/8:0)+H,481.34007,298.27403,422.26653,280.26337,154.158945,124.111985,184.07332,86.09648
SM(d12:0/10:0)+H,537.40267,354.33663,478.32913,336.32597,182.190245,152.143285,184.07332,86.09648
SM(d12:0/12:0)+H,565.43397,382.36793,506.36043,364.35727,182.190245,180.174585,184.07332,86.09648
SM(d12:0/13:0)+H,579.44967,396.38363,520.37613,378.37297,182.190245,194.190285,184.07332,86.09648
SM(d12:0/14:0)+H,593.46527,410.39923,534.39173,392.38857,182.190245,208.205885,184.07332,86.09648
SM(d12:0/14:1)+H,591.44967,408.38363,532.37613,390.37297,182.190245,206.190285,184.07332,86.09648
SM(d12:0/15:0)+H,607.48097,424.41493,548.40743,406.40427,182.190245,222.221585,184.07332,86.09648
SM(d12:0/15:1)+H,605.46527,422.39923,546.39173,404.38857,182.190245,220.205885,184.07332,86.09648
SM(d12:0/16:0)+H,621.49657,438.43053,562.42303,420.41987,182.190245,236.237185,184.07332,86.09648
SM(d12:0/16:1)+H,619.48097,436.41493,560.40743,418.40427,182.190245,234.221585,184.07332,86.09648
SM(d12:0/17:0)+H,635.51227,452.44623,576.43873,434.43557,182.190245,250.252885,184.07332,86.09648
SM(d12:0/17:1)+H,633.49657,450.43053,574.42303,432.41987,182.190245,248.237185,184.07332,86.09648
SM(d12:0/17:2)+H,631.48097,448.41493,572.40743,430.40427,182.190245,246.221585,184.07332,86.09648
SM(d12:0/18:0)+H,649.52787,466.46183,590.45433,448.45117,182.190245,264.268485,184.07332,86.09648
SM(d12:0/18:1)+H,647.51227,464.44623,588.43873,446.43557,182.190245,262.252885,184.07332,86.09648
SM(d12:0/18:2)+H,645.49657,462.43053,586.42303,444.41987,182.190245,260.237185,184.07332,86.09648
SM(d12:0/18:3)+H,643.48097,460.41493,584.40743,442.40427,182.190245,258.221585,184.07332,86.09648
SM(d12:0/18:4)+H,641.46527,458.39923,582.39173,440.38857,182.190245,256.205885,184.07332,86.09648
