SM,[M+H]+,MH-PC,MH-N(CH3)3,Mprev-H2O,PC Head,CH2CHN(CH3)3
SM(16:0)+H,453.30877,270.24273,394.23523,252.23207,184.07332,86.09648
SM(18:0)+H,481.34007,298.27403,422.26653,280.26337,184.07332,86.09648
SM(20:0)+H,509.37137,326.30533,450.29783,308.29467,184.07332,86.09648
SM(21:0)+H,523.38707,340.32103,464.31353,322.31037,184.07332,86.09648
SM(22:0)+H,537.40267,354.33663,478.32913,336.32597,184.07332,86.09648
SM(22:1)+H,535.38707,352.32103,476.31353,334.31037,184.07332,86.09648
SM(23:0)+H,551.41837,368.35233,492.34483,350.34167,184.07332,86.09648
SM(23:1)+H,549.40267,366.33663,490.32913,348.32597,184.07332,86.09648
SM(24:0)+H,565.43397,382.36793,506.36043,364.35727,184.07332,86.09648
SM(24:1)+H,563.41837,380.35233,504.34483,362.34167,184.07332,86.09648
SM(25:0)+H,579.44967,396.38363,520.37613,378.37297,184.07332,86.09648
SM(25:1)+H,577.43397,394.36793,518.36043,376.35727,184.07332,86.09648
SM(25:2)+H,575.41837,392.35233,516.34483,374.34167,184.07332,86.09648
SM(26:0)+H,593.46527,410.39923,534.39173,392.38857,184.07332,86.09648
SM(26:1)+H,591.44967,408.38363,532.37613,390.37297,184.07332,86.09648
SM(26:2)+H,589.43397,406.36793,530.36043,388.35727,184.07332,86.09648
SM(26:3)+H,587.41837,404.35233,528.34483,386.34167,184.07332,86.09648
SM(26:4)+H,585.40267,402.33663,526.32913,384.32597,184.07332,86.09648
SM(27:0)+H,607.48097,424.41493,548.40743,406.40427,184.07332,86.09648
SM(27:1)+H,605.46527,422.39923,546.39173,404.38857,184.07332,86.09648
SM(27:2)+H,603.44967,420.38363,544.37613,402.37297,184.07332,86.09648
SM(28:0)+H,621.49657,438.43053,562.42303,420.41987,184.07332,86.09648
SM(28:1)+H,619.48097,436.41493,560.40743,418.40427,184.07332,86.09648
SM(28:2)+H,617.46527,434.39923,558.39173,416.38857,184.07332,86.09648
SM(28:3)+H,615.44967,432.38363,556.37613,414.37297,184.07332,86.09648
SM(28:4)+H,613.43397,430.36793,554.36043,412.35727,184.07332,86.09648
