SQDG,[M-H]-,SQMG_SN1-H2O-H,SQMG_SN2-H2O-H,M-FA1-FA2-Glycerol+2H2O-H,sn1,sn2
SQDG(2:0_2:0)-H,401.07538,341.05426,341.05426,225.0069,59.01375,59.01375
SQDG(2:0_3:0)-H,415.09103,355.06991,341.05427,225.0069,59.01376,73.0294
SQDG(2:0_4:0)-H,429.10668,369.08556,341.05428,225.0069,59.01377,87.04505
SQDG(2:0_5:0)-H,443.12234,383.10122,341.0543,225.0069,59.01379,101.06071
SQDG(2:0_6:0)-H,457.13796,397.11684,341.05428,225.0069,59.01377,115.07633
SQDG(2:0_7:0)-H,471.15362,411.1325,341.0543,225.0069,59.01379,129.09199
SQDG(2:0_8:0)-H,485.16928,425.14816,341.05432,225.0069,59.01381,143.10765
SQDG(2:0_9:0)-H,499.18493,439.16381,341.05433,225.0069,59.01382,157.1233
SQDG(3:0_3:0)-H,429.10668,355.06992,355.06992,225.0069,73.02941,73.02941
SQDG(3:0_4:0)-H,443.12234,369.08558,355.06994,225.0069,73.02943,87.04507
SQDG(3:0_5:0)-H,457.13796,383.1012,355.06992,225.0069,73.02941,101.06069
SQDG(3:0_6:0)-H,471.15362,397.11686,355.06994,225.0069,73.02943,115.07635
SQDG(3:0_7:0)-H,485.16928,411.13252,355.06996,225.0069,73.02945,129.09201
SQDG(3:0_8:0)-H,499.18493,425.14817,355.06997,225.0069,73.02946,143.10766
SQDG(3:0_9:0)-H,513.20058,439.16382,355.06998,225.0069,73.02947,157.12331
SQDG(4:0_4:0)-H,457.13796,369.08556,369.08556,225.0069,87.04505,87.04505
SQDG(4:0_5:0)-H,471.15362,383.10122,369.08558,225.0069,87.04507,101.06071
SQDG(4:0_6:0)-H,485.16928,397.11688,369.0856,225.0069,87.04509,115.07637
SQDG(4:0_7:0)-H,499.18493,411.13253,369.08561,225.0069,87.0451,129.09202
SQDG(4:0_8:0)-H,513.20058,425.14818,369.08562,225.0069,87.04511,143.10767
SQDG(4:0_9:0)-H,527.21624,439.16384,369.08564,225.0069,87.04513,157.12333
SQDG(5:0_5:0)-H,485.16928,383.10124,383.10124,225.0069,101.06073,101.06073
SQDG(5:0_6:0)-H,499.18493,397.11689,383.10125,225.0069,101.06074,115.07638
SQDG(5:0_7:0)-H,513.20058,411.13254,383.10126,225.0069,101.06075,129.09203
SQDG(5:0_8:0)-H,527.21624,425.1482,383.10128,225.0069,101.06077,143.10769
SQDG(5:0_9:0)-H,541.23188,439.16384,383.10128,225.0069,101.06077,157.12333
SQDG(6:0_6:0)-H,513.20058,397.1169,397.1169,225.0069,115.07639,115.07639
SQDG(6:0_7:0)-H,527.21624,411.13256,397.11692,225.0069,115.07641,129.09205
SQDG(6:0_8:0)-H,541.23188,425.1482,397.11692,225.0069,115.07641,143.10769
SQDG(6:0_9:0)-H,555.24758,439.1639,397.11698,225.0069,115.07647,157.12339
